iso_code,continent,location,date,total_cases,new_cases,new_cases_smoothed,total_deaths,new_deaths,new_deaths_smoothed,total_cases_per_million,new_cases_per_million,new_cases_smoothed_per_million,total_deaths_per_million,new_deaths_per_million,new_deaths_smoothed_per_million,reproduction_rate,icu_patients,icu_patients_per_million,hosp_patients,hosp_patients_per_million,weekly_icu_admissions,weekly_icu_admissions_per_million,weekly_hosp_admissions,weekly_hosp_admissions_per_million,total_tests,new_tests,total_tests_per_thousand,new_tests_per_thousand,new_tests_smoothed,new_tests_smoothed_per_thousand,positive_rate,tests_per_case,tests_units,total_vaccinations,people_vaccinated,people_fully_vaccinated,total_boosters,new_vaccinations,new_vaccinations_smoothed,total_vaccinations_per_hundred,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,total_boosters_per_hundred,new_vaccinations_smoothed_per_million,new_people_vaccinated_smoothed,new_people_vaccinated_smoothed_per_hundred,stringency_index,population_density,median_age,aged_65_older,aged_70_older,gdp_per_capita,extreme_poverty,cardiovasc_death_rate,diabetes_prevalence,female_smokers,male_smokers,handwashing_facilities,hospital_beds_per_thousand,life_expectancy,human_development_index,population,excess_mortality_cumulative_absolute,excess_mortality_cumulative,excess_mortality,excess_mortality_cumulative_per_million
AZE,Asia,Azerbaijan,2023-07-12,831950.0,0.0,1.71,10283.0,0.0,0.14,80808.66,0.0,0.17,998.8,0.0,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,119.31,32.4,6.02,3.87,15847.42,,559.81,7.11,0.3,42.5,83.24,4.7,73.0,0.76,10358078,,,,
TTO,North America,Trinidad and Tobago,2022-11-22,185094.0,0.0,20.71,4263.0,0.0,0.86,123732.39,0.0,13.85,2849.75,0.0,0.57,0.55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.11,266.89,36.2,10.01,5.82,28763.07,,228.47,10.97,,,89.44,3.0,73.51,0.8,1531043,,,,
THA,Asia,Thailand,2024-04-06,4770005.0,0.0,104.0,34583.0,0.0,0.29,66494.51,0.0,1.45,482.09,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,135.13,40.1,11.37,6.89,16277.67,0.1,109.86,7.04,1.9,38.8,90.67,2.1,77.15,0.78,71697024,,,,
GBR,Europe,United Kingdom,2022-08-09,23399937.0,0.0,8136.14,205144.0,0.0,92.71,343211.7,0.0,119.33,3008.89,0.0,1.36,1.05,,,10271.0,152.14,,,7324.0,108.49,,,,,,,,,,150877864.0,53746565.0,50594973.0,40266231.0,15535.0,20810.0,223.49,79.61,74.95,59.65,308.0,2512.0,0.0,11.11,272.9,40.8,18.52,12.53,39753.24,0.2,122.14,4.28,20.0,24.7,,2.54,81.32,0.93,67508936,,,,
MEX,North America,Mexico,2021-01-11,1631666.0,0.0,15053.57,158074.0,0.0,1090.29,12686.62,0.0,117.04,1229.07,0.0,8.48,1.08,,,,,,,,,3794868.0,49584.0,29.95,0.39,37132.0,0.29,0.43,2.3,people tested,87060.0,87060.0,,,5760.0,6157.0,0.07,0.07,,,48.0,6157.0,0.0,71.76,66.44,29.3,6.86,4.32,17336.47,2.5,152.78,13.06,6.9,21.4,87.85,1.38,75.05,0.78,127504120,,,,
DJI,Africa,Djibouti,2024-05-31,15690.0,0.0,0.0,189.0,0.0,0.0,13798.26,0.0,0.0,166.21,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,41.28,25.4,4.21,2.38,2705.41,22.5,258.04,6.05,1.7,24.5,,1.4,67.11,0.52,1120851,,,,
WSM,Oceania,Samoa,2023-08-07,16775.0,0.0,0.0,31.0,0.0,0.0,77925.76,0.0,0.0,144.01,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,69.41,22.0,5.61,3.56,6021.56,,348.98,9.21,16.7,38.1,,,73.32,0.72,222390,,,,
KIR,Oceania,Kiribati,2023-03-08,5014.0,0.0,0.14,18.0,0.0,0.0,38427.05,0.0,1.1,137.95,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,143.7,23.2,3.9,2.21,1981.13,,434.66,22.66,35.9,58.9,,1.9,68.37,0.63,131237,,,,
SPM,North America,Saint Pierre and Miquelon,2024-03-05,3426.0,0.0,0.0,2.0,0.0,0.0,594791.7,0.0,0.0,347.22,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,81.07,,5885,,,,
BRN,Asia,Brunei,2021-06-01,242.0,0.0,0.86,3.0,0.0,0.0,531.43,0.0,1.88,6.59,0.0,0.0,0.62,,,,,,,,,,,,,,,,,,,,,,,1766.0,,,,,3933.0,1572.0,0.35,40.74,81.35,32.4,4.59,2.38,71809.25,,201.28,12.79,2.0,30.9,,2.7,75.86,0.84,449002,,,,
